Order_ID,Order_Date,Customer_ID,Customer_Name,Region,Country,State,City,Product_Category,Product_Subcategory,Product_Name,Sales_Amount,Quantity,Discount,Profit,Payment_Mode,Sales_Channel,Sales_Rep
ORD0012,2024-12-26,CUST0012,Dalaja More,West,India,Rajasthan,Jodhpur,Electronics,Mobile,Mobile Model 306,82010,5,0,16926.08,UPI,Online,Pushti Parekh
ORD0013,2025-12-08,CUST0013,Kabir Choudhury,North,India,Uttar Pradesh,Lucknow,Home & Kitchen,Appliances,Appliances Model 180,68587,4,5,5581.07,UPI,Offline,Jatin Karnik
ORD0014,2025-11-24,CUST0014,Vidhi Nagy,East,India,Odisha,Cuttack,Fashion,Clothing,Clothing Model 110,21144,5,5,2832.0,Credit Card,Online,Gopal Malhotra
ORD0015,2024-03-30,CUST0015,Kamala Sibal,East,India,Bihar,Patna,Electronics,Headphones,Headphones Model 227,88605,1,0,7556.23,Debit Card,Online,Manthan Nagarajan
ORD0016,2025-08-17,CUST0016,Omaja Anne,South,India,Karnataka,Mangalore,Home & Kitchen,Furniture,Furniture Model 540,31034,1,5,7100.1,Debit Card,Online,Gaurika Yadav
ORD0017,2024-07-28,CUST0017,Ati Mody,West,India,Maharashtra,Pune,Fashion,Footwear,Footwear Model 915,83552,3,0,5594.61,UPI,Online,Aashi Raval
ORD0018,2024-08-31,CUST0018,Vrishti Bhatia,South,India,Andhra Pradesh,Guntur,Fashion,Accessories,Accessories Model 436,53112,1,5,3126.66,Credit Card,Online,Finn Vohra
ORD0019,2025-12-01,CUST0019,Umang Ramakrishnan,West,India,Rajasthan,Udaipur,Home & Kitchen,Cookware,Cookware Model 449,46817,5,5,4589.45,UPI,Offline,Ikbal Das
ORD0020,2025-02-21,CUST0020,Azaan Swaminathan,South,India,Kerala,Thiruvananthapuram,Sports,Fitness Equipment,Fitness Equipment Model 368,98081,3,15,6104.27,Credit Card,Online,Damyanti Atwal
ORD0021,2025-12-28,CUST0021,Alka Rana,North,India,Punjab,Jalandhar,Electronics,Laptop,Laptop Model 923,57099,5,10,13656.87,UPI,Offline,Varenya Mammen
ORD0022,2025-01-25,CUST0022,Yagnesh Samra,South,India,Karnataka,Mysore,Electronics,Mobile,Mobile Model 556,20333,5,15,3098.46,Debit Card,Online,Udyati Tara
ORD0023,2025-09-01,CUST0023,Abeer Iyengar,East,India,West Bengal,Kolkata,Sports,Sportswear,Sportswear Model 451,14931,1,5,857.63,UPI,Offline,Fariq Varma
ORD0024,2024-12-30,CUST0024,Zilmil Kapadia,North,India,Punjab,Jalandhar,Fashion,Clothing,Clothing Model 458,71277,4,0,16674.21,Debit Card,Online,Wyatt Bhandari
ORD0025,2025-04-27,CUST0025,Gaurav Tella,East,India,Odisha,Bhubaneswar,Electronics,Camera,Camera Model 662,51662,3,0,5213.77,Debit Card,Online,Chavvi Guha
ORD0026,2025-04-21,CUST0026,Benjamin Seshadri,North,India,Uttar Pradesh,Noida,Electronics,Mobile,Mobile Model 324,83763,3,10,14022.38,Credit Card,Offline,Xavier Srivastava
ORD0027,2024-03-21,CUST0027,Anita Ahluwalia,South,India,Andhra Pradesh,Vijayawada,Fashion,Accessories,Accessories Model 416,71874,1,5,8140.08,Credit Card,Offline,Manthan Bajaj
ORD0028,2024-04-22,CUST0028,Balendra Vora,North,India,Uttar Pradesh,Kanpur,Electronics,Mobile,Mobile Model 860,22785,5,0,3451.38,Credit Card,Offline,Chavvi Bhasin
ORD0029,2025-12-12,CUST0029,Fiyaz Dugar,North,India,Delhi,Dwarka,Fashion,Clothing,Clothing Model 953,60087,1,15,14010.08,Debit Card,Offline,Anmol Pandey
ORD0030,2025-02-04,CUST0030,Chanakya Chandra,East,India,Bihar,Patna,Sports,Sportswear,Sportswear Model 157,68742,1,10,10699.78,Credit Card,Offline,Pranav Parikh
ORD0031,2024-09-10,CUST0031,Ayushman Dada,North,India,Uttar Pradesh,Kanpur,Fashion,Accessories,Accessories Model 111,16121,2,10,2034.97,Credit Card,Online,Omya Butala
ORD0032,2024-02-20,CUST0032,Kabir Vasa,East,India,Odisha,Rourkela,Sports,Fitness Equipment,Fitness Equipment Model 978,46344,3,10,6128.46,UPI,Offline,Vansha Ranganathan
ORD0033,2024-05-29,CUST0033,Saumya Gaba,West,India,Goa,Vasco da Gama,Electronics,Laptop,Laptop Model 167,34033,4,5,8471.58,Credit Card,Online,Girindra Madan
ORD0034,2025-12-15,CUST0034,Anmol Palla,West,India,Maharashtra,Pune,Electronics,Mobile,Mobile Model 326,37229,5,0,6712.41,UPI,Online,Yashasvi Sankaran
ORD0035,2025-05-31,CUST0035,Zarna Chadha,North,India,Uttar Pradesh,Kanpur,Sports,Sportswear,Sportswear Model 129,16851,1,0,2418.16,Credit Card,Online,Anika Patla
ORD0036,2024-09-26,CUST0036,Vincent Mammen,West,India,Rajasthan,Jaipur,Electronics,Laptop,Laptop Model 805,28860,5,10,2422.32,Credit Card,Offline,Frado Raman
ORD0037,2025-11-05,CUST0037,Netra Kapadia,East,India,Odisha,Bhubaneswar,Fashion,Clothing,Clothing Model 626,18319,1,5,2891.54,UPI,Online,Hiral Dutta
ORD0038,2024-05-25,CUST0038,Aarini Barad,South,India,Kerala,Thiruvananthapuram,Sports,Sportswear,Sportswear Model 492,50875,1,0,8197.83,Credit Card,Online,Gavin Bath
ORD0039,2024-02-26,CUST0039,Shravya Chokshi,East,India,Bihar,Gaya,Fashion,Clothing,Clothing Model 946,75144,4,10,16209.98,UPI,Online,Nisha Konda
ORD0040,2024-01-25,CUST0040,Edhitha Agate,North,India,Haryana,Gurgaon,Fashion,Accessories,Accessories Model 294,20805,4,0,3241.83,Debit Card,Offline,Aarna Kannan
ORD0041,2024-04-21,CUST0041,Pahal Ram,North,India,Haryana,Gurgaon,Electronics,Headphones,Headphones Model 152,81794,3,5,8769.36,Credit Card,Online,Indali Yadav
ORD0042,2025-02-05,CUST0042,Pahal Rout,South,India,Tamil Nadu,Coimbatore,Home & Kitchen,Furniture,Furniture Model 385,85884,4,5,7384.5,Debit Card,Online,Lopa Bains
ORD0043,2025-02-12,CUST0043,Bishakha Kumer,East,India,Bihar,Gaya,Fashion,Accessories,Accessories Model 801,14378,4,15,2101.66,UPI,Offline,Anya Dara
ORD0044,2025-06-30,CUST0044,Aashi Dara,East,India,Bihar,Patna,Fashion,Accessories,Accessories Model 182,40279,1,5,2395.62,UPI,Online,Yagnesh Char
ORD0045,2024-04-12,CUST0045,Rajata Goyal,East,India,Jharkhand,Ranchi,Fashion,Clothing,Clothing Model 443,78777,3,0,17785.23,Debit Card,Offline,Garima Butala
ORD0046,2025-10-10,CUST0046,Advay Venkataraman,West,India,Gujarat,Vadodara,Electronics,Headphones,Headphones Model 472,57083,4,0,10673.18,UPI,Offline,Aadhya Andra
ORD0047,2024-05-05,CUST0047,Wridesh Sur,West,India,Rajasthan,Jodhpur,Electronics,Mobile,Mobile Model 163,7879,3,15,558.29,UPI,Offline,Niharika Dey
ORD0048,2024-03-14,CUST0048,Fitan Agrawal,East,India,Bihar,Patna,Fashion,Clothing,Clothing Model 449,88688,2,0,10829.6,Debit Card,Offline,Zashil Sachdeva
ORD0049,2025-10-01,CUST0049,Ira Gade,West,India,Rajasthan,Jaipur,Sports,Sportswear,Sportswear Model 460,66143,4,15,4824.19,Debit Card,Offline,Lopa Kulkarni
ORD0050,2025-06-16,CUST0050,Nikita Sha,West,India,Rajasthan,Udaipur,Electronics,Laptop,Laptop Model 629,89557,5,10,16141.62,UPI,Online,Sneha Kale
ORD0051,2024-08-23,CUST0051,Nachiket Muni,West,India,Rajasthan,Udaipur,Sports,Sportswear,Sportswear Model 371,27270,5,15,4598.89,Debit Card,Offline,Yashawini Bhargava
ORD0052,2024-04-02,CUST0052,Vansha Bumb,West,India,Rajasthan,Jaipur,Home & Kitchen,Furniture,Furniture Model 606,80366,1,0,4044.45,Debit Card,Offline,Waida Bhattacharyya
ORD0053,2025-06-18,CUST0053,Charvi Choudhury,South,India,Tamil Nadu,Coimbatore,Home & Kitchen,Furniture,Furniture Model 777,67001,2,10,6982.96,Credit Card,Offline,Eshana Yadav
ORD0054,2025-03-11,CUST0054,Waida Din,East,India,West Bengal,Siliguri,Sports,Sportswear,Sportswear Model 821,15230,5,5,1073.54,UPI,Offline,Yutika Sunder
ORD0055,2025-08-30,CUST0055,Megha Khurana,West,India,Gujarat,Ahmedabad,Electronics,Camera,Camera Model 434,85351,2,5,14565.59,Credit Card,Offline,Omisha Dara
ORD0056,2025-08-26,CUST0056,Frederick Kurian,North,India,Uttar Pradesh,Lucknow,Home & Kitchen,Furniture,Furniture Model 583,66907,5,15,3617.8,Credit Card,Offline,Anay Buch
ORD0057,2024-05-17,CUST0057,Aachal Kapadia,South,India,Karnataka,Mysore,Electronics,Headphones,Headphones Model 758,12991,1,10,3200.47,Credit Card,Online,Aryan Gupta
ORD0058,2024-12-29,CUST0058,Ekalinga Chanda,South,India,Andhra Pradesh,Vijayawada,Home & Kitchen,Cookware,Cookware Model 933,5047,1,10,996.33,Debit Card,Online,Ekapad Ranganathan
ORD0059,2024-01-05,CUST0059,Girish Upadhyay,South,India,Karnataka,Mysore,Electronics,Headphones,Headphones Model 630,6925,3,5,742.15,Credit Card,Offline,Yashvi Bandi
ORD0060,2024-05-20,CUST0060,Jasmit Mander,West,India,Rajasthan,Jaipur,Fashion,Clothing,Clothing Model 368,27963,5,0,4216.18,Credit Card,Online,Balvan Kadakia
ORD0061,2025-04-23,CUST0061,Tamanna Sagar,East,India,Odisha,Bhubaneswar,Home & Kitchen,Appliances,Appliances Model 187,97402,3,15,7585.66,Credit Card,Online,Dominic Dhaliwal
ORD0062,2025-07-25,CUST0062,Anirudh Merchant,South,India,Kerala,Kozhikode,Fashion,Footwear,Footwear Model 413,88789,4,5,22141.69,Credit Card,Offline,Timothy Date
ORD0063,2024-01-30,CUST0063,Edhitha Tak,West,India,Maharashtra,Pune,Electronics,Headphones,Headphones Model 596,81269,5,10,18775.35,UPI,Online,Yashodhara Chacko
ORD0064,2024-02-13,CUST0064,Viraj Deshpande,West,India,Maharashtra,Pune,Fashion,Clothing,Clothing Model 937,82746,5,15,6239.54,Credit Card,Online,Divya Mahajan
ORD0065,2024-02-20,CUST0065,Jason Sodhi,North,India,Delhi,Dwarka,Sports,Accessories,Accessories Model 611,48961,3,15,7491.28,Credit Card,Online,Hema Bhardwaj
ORD0066,2025-11-13,CUST0066,Sneha Dubey,North,India,Delhi,Rohini,Electronics,Headphones,Headphones Model 120,20174,3,5,2409.02,Debit Card,Offline,Rehaan Deshpande
ORD0067,2024-09-27,CUST0067,Kamala Apte,South,India,Karnataka,Mangalore,Fashion,Clothing,Clothing Model 573,55337,3,10,8471.91,Debit Card,Online,Tanvi Mani
ORD0068,2025-12-09,CUST0068,Yuvraj Ghosh,South,India,Karnataka,Mangalore,Fashion,Footwear,Footwear Model 593,11223,1,15,739.83,Credit Card,Offline,Yamini Edwin
ORD0069,2024-08-23,CUST0069,Omkaar Dhar,West,India,Rajasthan,Udaipur,Sports,Fitness Equipment,Fitness Equipment Model 245,47804,1,5,3100.79,UPI,Offline,Vansha Sunder
ORD0070,2024-05-15,CUST0070,Michael Venkataraman,South,India,Karnataka,Bangalore,Home & Kitchen,Furniture,Furniture Model 630,83419,3,15,5452.73,Credit Card,Offline,Kritika Pillai
ORD0071,2024-12-19,CUST0071,Libni Cheema,South,India,Karnataka,Bangalore,Electronics,Mobile,Mobile Model 773,30420,5,15,6204.14,UPI,Offline,Jyoti Dada
ORD0072,2024-06-05,CUST0072,Madhavi Kapoor,East,India,Bihar,Bhagalpur,Sports,Fitness Equipment,Fitness Equipment Model 596,86216,1,0,9735.36,Debit Card,Online,Vasana Behl
ORD0073,2025-05-30,CUST0073,Harini Dua,North,India,Haryana,Gurgaon,Fashion,Footwear,Footwear Model 552,18587,5,0,2843.12,Debit Card,Online,Oliver Memon
ORD0074,2024-04-21,CUST0074,Aahana Hora,South,India,Karnataka,Bangalore,Sports,Accessories,Accessories Model 161,60470,2,5,6932.12,UPI,Offline,Orinder Soni
ORD0075,2024-09-25,CUST0075,Shivansh Buch,East,India,Bihar,Bhagalpur,Electronics,Headphones,Headphones Model 921,43803,1,0,9293.25,Credit Card,Offline,Ranbir Ganesh
ORD0076,2024-11-03,CUST0076,Harshil Bahri,North,India,Haryana,Gurgaon,Electronics,Camera,Camera Model 102,16888,2,5,3161.92,UPI,Offline,Chatura Sahota
ORD0077,2024-12-02,CUST0077,Omya Badal,South,India,Karnataka,Bangalore,Sports,Accessories,Accessories Model 923,65273,2,10,10717.29,Debit Card,Offline,Bakhshi Bumb
ORD0078,2024-06-09,CUST0078,Advika Taneja,East,India,West Bengal,Kolkata,Electronics,Headphones,Headphones Model 392,46866,1,5,8916.73,UPI,Online,Aashi Rastogi
ORD0079,2025-07-08,CUST0079,Ridhi Bhakta,South,India,Karnataka,Mysore,Electronics,Laptop,Laptop Model 847,71450,1,0,11763.91,Debit Card,Offline,Imaran Mitter
ORD0080,2024-03-14,CUST0080,Rishi Dugal,West,India,Rajasthan,Jodhpur,Fashion,Clothing,Clothing Model 467,64748,1,15,8665.5,Debit Card,Online,Lekha Verma
ORD0081,2024-07-22,CUST0081,Raksha Mani,West,India,Rajasthan,Udaipur,Home & Kitchen,Appliances,Appliances Model 577,66027,3,15,13071.42,UPI,Online,Finn Bansal
ORD0082,2025-08-17,CUST0082,Rohan Kant,South,India,Kerala,Kozhikode,Home & Kitchen,Appliances,Appliances Model 130,5187,5,5,999.6,Credit Card,Offline,Xiti Prabhu
ORD0083,2025-05-14,CUST0083,Tanmayi Ramanathan,South,India,Kerala,Kozhikode,Sports,Fitness Equipment,Fitness Equipment Model 374,68060,3,10,14551.21,Debit Card,Online,Aryan Sampath
ORD0084,2024-05-14,CUST0084,Rachana Pal,South,India,Kerala,Thiruvananthapuram,Electronics,Camera,Camera Model 963,10853,1,10,2575.89,Debit Card,Offline,Urishilla Dua
ORD0085,2025-03-22,CUST0085,Samesh Tiwari,South,India,Tamil Nadu,Coimbatore,Electronics,Headphones,Headphones Model 840,43549,2,15,6968.27,Credit Card,Offline,Varsha More
ORD0086,2024-11-19,CUST0086,Qushi Talwar,North,India,Uttar Pradesh,Lucknow,Fashion,Footwear,Footwear Model 528,57560,2,0,11693.92,Debit Card,Offline,Simon Bajwa
ORD0087,2024-09-28,CUST0087,Nitara Walla,South,India,Tamil Nadu,Coimbatore,Electronics,Headphones,Headphones Model 229,70549,5,15,8261.95,Credit Card,Offline,Adya Patel
ORD0088,2024-06-08,CUST0088,Harita Jaggi,West,India,Goa,Vasco da Gama,Electronics,Camera,Camera Model 459,58646,1,15,12180.71,Credit Card,Online,Falan Mall
ORD0089,2024-02-17,CUST0089,Odika Baria,South,India,Kerala,Kozhikode,Sports,Fitness Equipment,Fitness Equipment Model 402,33819,1,10,7078.69,UPI,Offline,Ranbir Kibe
ORD0090,2024-10-17,CUST0090,Yashica Lad,North,India,Delhi,Dwarka,Electronics,Camera,Camera Model 599,4251,2,5,983.37,UPI,Offline,Ikshita Purohit
ORD0091,2024-08-10,CUST0091,Niharika Randhawa,South,India,Andhra Pradesh,Guntur,Electronics,Mobile,Mobile Model 199,24208,3,10,3146.44,Debit Card,Online,Xiti Dar
ORD0092,2024-09-03,CUST0092,Yashodhara Sengupta,South,India,Kerala,Kozhikode,Electronics,Laptop,Laptop Model 705,19582,1,10,4566.51,Debit Card,Online,Gaurangi Halder
ORD0093,2024-03-25,CUST0093,George Sood,North,India,Delhi,New Delhi,Home & Kitchen,Appliances,Appliances Model 259,47739,4,5,5328.33,Credit Card,Online,Ijaya Chada
ORD0094,2024-11-18,CUST0094,Ekapad Sinha,South,India,Kerala,Kochi,Sports,Accessories,Accessories Model 371,99434,5,15,18108.26,Debit Card,Online,Anusha Borde
ORD0095,2024-05-06,CUST0095,Hamsini Sura,West,India,Goa,Panaji,Fashion,Clothing,Clothing Model 140,7049,4,15,749.97,UPI,Online,Ekapad Chakrabarti
ORD0096,2024-12-08,CUST0096,Inaya Mohanty,North,India,Delhi,Rohini,Fashion,Accessories,Accessories Model 744,28512,3,10,6962.23,Debit Card,Online,Kabir Kumer
ORD0097,2024-09-16,CUST0097,Gautami Sastry,North,India,Uttar Pradesh,Noida,Sports,Accessories,Accessories Model 129,63342,5,0,7067.2,Credit Card,Online,Yash Gill
ORD0098,2024-01-29,CUST0098,Bhavya Taneja,North,India,Uttar Pradesh,Kanpur,Home & Kitchen,Cookware,Cookware Model 951,31390,4,15,3088.38,UPI,Offline,Panini Wable
ORD0099,2024-04-01,CUST0099,Aishani Agrawal,North,India,Delhi,Rohini,Electronics,Laptop,Laptop Model 984,18812,1,15,1384.83,UPI,Online,Wazir Vala
ORD0100,2025-04-25,CUST0100,Ubika Kari,South,India,Kerala,Kochi,Sports,Accessories,Accessories Model 550,57931,2,15,8652.8,Credit Card,Online,Oni Trivedi
ORD0101,2024-02-27,CUST0101,Vrishti Nayar,North,India,Punjab,Amritsar,Sports,Fitness Equipment,Fitness Equipment Model 721,87675,5,5,9653.25,Debit Card,Online,Irya Chopra
ORD0102,2024-09-24,CUST0102,Dipta Mukhopadhyay,West,India,Goa,Panaji,Home & Kitchen,Appliances,Appliances Model 995,41648,1,0,9179.74,Debit Card,Offline,Suhani Solanki
ORD0103,2024-12-01,CUST0103,Oviya Bala,South,India,Tamil Nadu,Madurai,Fashion,Clothing,Clothing Model 893,90757,2,5,16204.85,Credit Card,Offline,Oviya Dhar
ORD0104,2025-12-26,CUST0104,Aarush Lata,South,India,Andhra Pradesh,Vijayawada,Sports,Fitness Equipment,Fitness Equipment Model 361,2771,3,5,375.57,Debit Card,Offline,Abha Ravi
ORD0105,2025-10-29,CUST0105,Daniel Lala,East,India,Odisha,Cuttack,Home & Kitchen,Furniture,Furniture Model 773,64092,2,10,8268.23,UPI,Online,Aachal Chopra
ORD0106,2024-04-28,CUST0106,Unni Issac,West,India,Maharashtra,Nagpur,Electronics,Mobile,Mobile Model 868,81512,4,0,9321.34,Credit Card,Offline,Aahana Shenoy
ORD0107,2025-12-27,CUST0107,Pushti Purohit,North,India,Punjab,Jalandhar,Home & Kitchen,Cookware,Cookware Model 701,37522,2,5,8006.24,Credit Card,Online,Neelima Walia
ORD0108,2024-01-23,CUST0108,Sanya D’Alia,South,India,Karnataka,Mysore,Electronics,Mobile,Mobile Model 346,87349,3,10,9690.7,UPI,Offline,Nidra Tiwari
ORD0109,2024-10-24,CUST0109,Amara Vohra,East,India,Bihar,Patna,Sports,Sportswear,Sportswear Model 202,97794,1,10,8876.58,UPI,Online,Krish Trivedi
ORD0110,2024-05-15,CUST0110,Sachi Agrawal,North,India,Haryana,Faridabad,Sports,Sportswear,Sportswear Model 171,92306,2,0,17966.2,UPI,Offline,Ekiya Garg
ORD0111,2024-01-25,CUST0111,Logan Barman,West,India,Goa,Vasco da Gama,Fashion,Clothing,Clothing Model 612,64892,1,0,10351.46,Credit Card,Online,Kavya Buch
ORD0112,2025-01-08,CUST0112,Vasatika Venkataraman,North,India,Uttar Pradesh,Noida,Home & Kitchen,Cookware,Cookware Model 576,86813,3,15,9182.9,Credit Card,Online,Quincy Dora
ORD0113,2024-11-15,CUST0113,Qabil Chandran,South,India,Tamil Nadu,Madurai,Fashion,Footwear,Footwear Model 781,53075,1,0,7264.8,UPI,Offline,Henry Sabharwal
ORD0114,2024-04-15,CUST0114,Deepa Sani,South,India,Tamil Nadu,Coimbatore,Sports,Accessories,Accessories Model 207,45580,4,15,8656.36,UPI,Offline,Sathvik Tella
ORD0115,2025-02-12,CUST0115,Wridesh Bhandari,West,India,Maharashtra,Mumbai,Home & Kitchen,Appliances,Appliances Model 133,99490,4,10,7345.26,Credit Card,Online,Viraj Kapur
ORD0116,2024-06-30,CUST0116,Yahvi Mandal,East,India,Odisha,Rourkela,Electronics,Mobile,Mobile Model 497,18057,5,15,1144.49,UPI,Online,Ekanta Baria
ORD0117,2024-03-20,CUST0117,Aarnav Basak,East,India,Jharkhand,Ranchi,Fashion,Accessories,Accessories Model 472,38018,2,10,4864.07,Credit Card,Offline,Eesha Pingle
ORD0118,2025-11-27,CUST0118,Manan Ratti,South,India,Andhra Pradesh,Guntur,Home & Kitchen,Appliances,Appliances Model 371,99946,5,15,15926.74,Debit Card,Offline,Neel Tailor
ORD0119,2024-06-29,CUST0119,Nihal Rattan,North,India,Uttar Pradesh,Kanpur,Electronics,Laptop,Laptop Model 845,5247,4,5,493.18,UPI,Offline,Yug Shetty
ORD0120,2024-08-25,CUST0120,Anusha Palla,North,India,Delhi,New Delhi,Fashion,Clothing,Clothing Model 499,84189,1,5,13959.71,Debit Card,Offline,Sai Ben
ORD0121,2024-11-03,CUST0121,Qasim Raval,East,India,Bihar,Bhagalpur,Home & Kitchen,Appliances,Appliances Model 689,70126,1,15,4562.73,Credit Card,Offline,Widisha Varty
ORD0122,2024-07-26,CUST0122,Vamakshi Tandon,East,India,Bihar,Bhagalpur,Electronics,Camera,Camera Model 241,19589,4,10,3923.45,Debit Card,Online,Anamika Baral
ORD0123,2025-12-01,CUST0123,Krisha Hari,North,India,Punjab,Ludhiana,Sports,Fitness Equipment,Fitness Equipment Model 581,63617,1,5,9767.43,Debit Card,Online,Yashodhara Balay
ORD0124,2024-12-16,CUST0124,Zarna Hayer,North,India,Punjab,Jalandhar,Electronics,Mobile,Mobile Model 277,92880,2,10,12043.63,Debit Card,Offline,Arin Ramakrishnan
ORD0125,2025-07-04,CUST0125,Ranveer Bail,South,India,Andhra Pradesh,Guntur,Home & Kitchen,Appliances,Appliances Model 565,14049,4,5,815.51,Credit Card,Offline,Waida Palla
ORD0126,2025-11-26,CUST0126,Farhan Prabhu,West,India,Rajasthan,Jaipur,Fashion,Footwear,Footwear Model 307,21236,1,5,3626.89,Credit Card,Offline,Hemal Bhatnagar
ORD0127,2025-01-22,CUST0127,Finn Rastogi,South,India,Kerala,Thiruvananthapuram,Electronics,Mobile,Mobile Model 159,60343,3,15,9780.4,Credit Card,Offline,Mohammed Nanda
ORD0128,2025-04-16,CUST0128,Bimala Mannan,North,India,Haryana,Faridabad,Sports,Sportswear,Sportswear Model 765,71731,2,15,3908.95,Debit Card,Offline,Zarna Padmanabhan
ORD0129,2024-03-03,CUST0129,Jason Iyer,South,India,Tamil Nadu,Madurai,Fashion,Accessories,Accessories Model 376,63567,2,15,10936.36,UPI,Online,Pooja Ravi
ORD0130,2025-06-06,CUST0130,Anusha Swamy,South,India,Karnataka,Mysore,Home & Kitchen,Furniture,Furniture Model 890,22504,3,0,3778.39,Credit Card,Online,Siddharth Deo
ORD0131,2025-06-05,CUST0131,Zinal Dara,West,India,Maharashtra,Nagpur,Fashion,Accessories,Accessories Model 641,41281,3,10,4936.32,UPI,Offline,Amara Kata
ORD0132,2025-05-10,CUST0132,Dakshesh Kannan,East,India,West Bengal,Siliguri,Fashion,Accessories,Accessories Model 854,40642,5,10,4650.65,UPI,Online,Pranav Chhabra
ORD0133,2024-05-06,CUST0133,Jeevika Bala,West,India,Maharashtra,Pune,Fashion,Footwear,Footwear Model 942,72122,2,5,15797.89,Debit Card,Online,Unnati Bhardwaj
ORD0134,2024-01-20,CUST0134,Bina Om,South,India,Kerala,Kochi,Fashion,Clothing,Clothing Model 308,72948,2,0,10715.65,Credit Card,Online,Upma Bhatti
ORD0135,2025-09-28,CUST0135,Jagdish Upadhyay,West,India,Maharashtra,Nagpur,Sports,Accessories,Accessories Model 340,21525,4,10,2333.69,Debit Card,Offline,Charita Prasad
ORD0136,2024-12-01,CUST0136,Edhitha De,South,India,Kerala,Thiruvananthapuram,Electronics,Laptop,Laptop Model 570,37654,3,5,4767.64,UPI,Offline,Janaki Vaidya
ORD0137,2024-09-17,CUST0137,Nikita Vora,West,India,Rajasthan,Jaipur,Fashion,Clothing,Clothing Model 444,51214,3,0,10688.55,Credit Card,Online,Kalpit Gara
ORD0138,2025-06-02,CUST0138,Nitara Konda,North,India,Uttar Pradesh,Kanpur,Fashion,Footwear,Footwear Model 347,36897,1,5,5840.86,Credit Card,Offline,Harinakshi Sant
ORD0139,2024-05-15,CUST0139,Samuel Sarin,North,India,Punjab,Jalandhar,Home & Kitchen,Cookware,Cookware Model 293,7843,4,10,1700.79,Debit Card,Offline,Victor Kibe
ORD0140,2025-06-18,CUST0140,Hemang Modi,South,India,Tamil Nadu,Chennai,Sports,Sportswear,Sportswear Model 598,42436,5,0,10060.34,Credit Card,Offline,Pushti Bali
ORD0141,2025-11-06,CUST0141,Ayush Golla,North,India,Haryana,Panipat,Fashion,Accessories,Accessories Model 760,21638,3,5,1655.94,Credit Card,Offline,Jason Kashyap
ORD0142,2024-01-03,CUST0142,Jagat Andra,East,India,Jharkhand,Ranchi,Fashion,Accessories,Accessories Model 768,18185,5,15,4282.95,Credit Card,Online,Dakshesh Murthy
ORD0143,2024-06-03,CUST0143,Frederick Gara,North,India,Punjab,Amritsar,Fashion,Clothing,Clothing Model 293,63170,1,5,10942.9,Credit Card,Online,Samuel Bhargava
ORD0144,2024-07-02,CUST0144,Leela Dua,South,India,Karnataka,Mangalore,Fashion,Accessories,Accessories Model 578,12190,4,5,2400.36,Debit Card,Offline,Indira Rattan
ORD0145,2024-10-07,CUST0145,Amrita Mitra,East,India,Jharkhand,Dhanbad,Sports,Sportswear,Sportswear Model 212,16298,3,5,1532.69,UPI,Offline,Yashawini Srivastava
